62.245.245.139,pass,212.254.110.98
212.254.110.98,pass,62.245.245.139
62.245.245.139,pass,212.254.110.99
212.254.110.99,pass,62.245.245.139
67.163.167.90,pass,212.254.110.100
195.141.69.45,pass,192.26.92.32
195.141.69.45,pass,68.87.96.3
195.141.69.45,pass,24.129.0.106
195.141.69.45,pass,217.12.4.104
195.141.69.44,pass,64.156.215.5
66.140.98.85,block,195.141.69.47
217.219.212.194,block,195.141.69.38
62.245.245.139,pass,212.254.110.98
212.254.110.98,pass,62.245.245.139
62.245.245.139,pass,212.254.110.99
212.254.110.99,pass,62.245.245.139
195.141.69.45,pass,193.192.227.3
195.141.69.45,pass,195.129.111.65
195.141.69.45,pass,213.148.130.11
195.141.69.45,pass,62.2.32.250
