193.192.227.3,CVE-2004-0082,7
194.27.97.22,CAN-2004-0427,4
192.168.0.200,CAN-2004-0505,3
12.102.67.52,CVE-2003-0924,5
164.106.86.99,CAN-2004-0427,6
164.106.86.99,CAN-2004-0521,3
12.102.67.52,CVE-2003-0985,5
195.141.0.33,CAN-2004-0495,6
142.177.48.2,CVE-2004-0078,7
195.141.0.33,CAN-2004-0519,4
192.168.0.200,CVE-2003-0988,6
128.121.20.27,CAN-2004-0938,7
12.221.147.122,CVE-2004-0082,5
144.136.39.185,CVE-2004-0113,4
194.27.97.22,CVE-2003-0073,4
172.131.163.237,CVE-2004-0189,6
172.131.163.237,CVE-2003-0081,4
128.121.20.27,CAN-2004-0507,3
192.168.0.201,CAN-2004-0519,5
142.177.48.2,CAN-2004-0506,7
195.141.0.33,CVE-2004-0189,6
142.177.48.2,CVE-2004-0189,4
192.168.0.201,CAN-2004-0523,3
192.168.0.200,CAN-2004-0505,7
144.136.39.185,CAN-2004-0521,7
195.139.118.4,CVE-2003-0988,3
12.221.147.122,CVE-2004-0189,6
194.27.97.22,CVE-2003-0924,3
195.141.0.33,CVE-2004-0113,7
12.254.134.120,CVE-2003-0073,7
144.136.39.185,CAN-2004-0506,5
172.131.163.237,CVE-2003-0988,7
164.106.86.99,CAN-2004-0505,7
12.254.134.120,CVE-2003-0081,4
142.177.48.2,CVE-2003-0073,5
192.168.0.201,CAN-2004-0427,6
142.177.48.2,CVE-2003-0988,3
192.100.100.91,CVE-2003-0985,5
142.177.48.2,CAN-2004-0506,6
193.192.227.3,CVE-2003-0020,5
192.168.0.200,CAN-2004-0938,3
193.192.227.3,CAN-2004-0938,7
192.100.100.91,CAN-2004-0541,5
192.168.0.201,CAN-2004-0426,6
12.103.210.62,CAN-2004-0506,3
12.102.67.52,CVE-2004-0113,5
144.136.39.185,CVE-2004-0111,5
144.136.39.185,CVE-2004-0078,3
194.27.97.22,CAN-2004-0520,6
194.27.97.22,CAN-2004-0521,7
192.168.0.201,CVE-2004-0189,6
172.131.163.237,CAN-2004-0506,6
172.131.163.237,CVE-2003-0081,6
12.103.210.62,CVE-2002-1363,6
192.168.0.201,CVE-2003-0924,3
164.106.86.99,CVE-2004-0075,7
164.106.86.99,CVE-2004-0189,7
192.100.100.91,CVE-2003-0924,6
128.121.20.27,CAN-2004-0521,5
172.131.163.237,CAN-2004-0504,5
192.100.100.91,CAN-2004-0938,3
12.103.210.62,CVE-2004-0077,3
194.27.97.22,CVE-2004-0075,6
192.168.0.201,CAN-2004-0506,5
192.100.100.91,CAN-2004-0938,4
12.102.67.52,CAN-2004-0520,5
128.121.20.27,CVE-2003-0988,6
195.139.118.4,CVE-2003-0924,7
12.221.147.122,CAN-2004-0506,6
142.177.48.2,CVE-2003-0020,6
142.177.48.2,CVE-2004-0001,7
172.131.163.237,CAN-2004-0427,6
195.139.118.4,CVE-2004-0111,5
193.192.227.3,CVE-2003-0081,7
164.106.86.99,CVE-2004-0189,5
12.102.67.52,CAN-2004-0523,6
144.136.39.185,CVE-2003-0020,4
195.141.0.33,CAN-2004-0519,7
195.141.0.33,CAN-2004-0519,6
12.221.147.122,CAN-2004-0938,5
192.100.100.91,CVE-2004-0078,3
192.100.100.91,CAN-2004-0938,5
128.121.20.27,CAN-2004-0506,4
128.121.20.27,CVE-2004-0111,7
142.177.48.2,CAN-2004-0424,3
172.131.163.237,CAN-2004-0427,5
194.27.97.22,CVE-2003-0020,6
128.121.20.27,CVE-2004-0075,5
192.100.100.91,CVE-2003-0081,3
12.102.67.52,CVE-2003-0073,3
128.121.20.27,CAN-2004-0554,6
195.141.0.33,CAN-2004-0505,7
195.141.0.33,CVE-2004-0189,4
172.131.163.237,CVE-2003-0924,6
195.139.118.4,CAN-2004-0554,3
164.106.86.99,CAN-2004-0495,6
195.139.118.4,CVE-2002-1363,3
172.131.163.237,CVE-2004-0113,3
164.106.86.99,CAN-2004-0506,3
142.177.48.2,CAN-2004-0506,3
